은행id,은행,지점명,주소,위도,경도,구군,읍면동
189,우리은행,우리은행모라동금융센터,부산사상구사상로531번길24,35.1923481585704,128.988467911896,부산사상구,
190,우리은행,우리은행사상지점,부산사상구새벽로133,35.1529739772735,128.982316883079,부산사상구,
191,우리은행,우리은행하단동지점,부산사하구낙동남로1412,35.1059647786686,128.966053999619,부산사하구,부산사하구낙동
192,우리은행,우리은행괴정동지점,부산사하구낙동대로261,35.0989706689669,128.988700440677,부산사하구,부산사하구낙동
193,우리은행,우리은행신평동금융센터,부산사하구장평로262,35.0895534674215,128.973250336655,부산사하구,
194,우리은행,우리은행남천동지점,부산수영구광남로32,35.1456485251474,129.111253047876,부산수영구,
195,우리은행,우리은행수영역금융센터,부산수영구연수로420,35.1674544010639,129.114570170822,부산수영구,
196,우리은행,우리은행토곡지점,부산연제구과정로143,35.1841480133862,129.106879014898,부산연제구,
197,우리은행,우리은행부산거제동지점,부산연제구아시아드대로94,35.1930049716995,129.067444221827,부산연제구,
198,우리은행,우리은행연산중앙금융센터,부산연제구중앙대로1125,35.1881726182466,129.080771978934,부산연제구,
199,우리은행,우리은행영도지점,부산영도구태종로63,35.092943426568,129.038129677892,부산영도구,
200,우리은행,우리은행부산금융센터,부산중구광복로97번길11,35.0996810869065,129.035258944402,부산중구,
202,우리은행,우리은행부산부평동지점,부산중구흑교로25,35.1017109773442,129.024903100279,부산중구,
203,우리은행,우리은행반여동지점,부산해운대구선수촌로89,35.2014889737228,129.119052292293,부산해운대구,
204,우리은행,우리은행해운대지점,부산해운대구세실로77,35.1715237945471,129.17667256579,부산해운대구,
205,우리은행,우리은행센텀시티지점,부산해운대구센텀동로25,35.1714145464629,129.131041519225,부산해운대구,부산해운대구센텀동
206,우리은행,우리은행센텀파크지점,부산해운대구센텀중앙로145,35.1808969760979,129.120950835042,부산해운대구,
207,우리은행,우리은행해운대중앙지점,부산해운대구해운대로650,35.1645620657377,129.161252220737,부산해운대구,
208,우리은행,우리은행TWOCHAIRSW부산,부산해운대구해운대해변로120,35.1592402612741,129.145065570259,부산해운대구,
