번호,소속지회,경로당명,주소,구군,동,위도,경도
20,남구지회,신협경로당,대구광역시 남구 앞산순환로 728 (봉덕동)  ,남구,봉덕동,35.8343928811116,128.603764738367
21,남구지회,효성타운경로당,대구광역시 남구 효성중앙길 37 (봉덕동)  ,남구,봉덕동,35.8383601888258,128.603601906113
22,남구지회,고산골경로당,대구광역시 남구 용두길 89-1 (봉덕동)  ,남구,봉덕동,35.8314289584249,128.603606482047
23,남구지회,앞산힐스테이트경로당,대구광역시 남구 대덕로 166 (봉덕동)  ,남구,봉덕동,35.8406465303194,128.601990931265
24,남구지회,래미안웰리스트경로당,대구광역시 남구 효성중앙길 82 (봉덕동)    ,남구,봉덕동,35.8350428578622,128.604394008293
25,남구지회,봉덕화성파크드림경로당,대구광역시 남구 대봉로14길 30 (봉덕동)    ,남구,봉덕동,35.8428645641641,128.605322744489
26,남구지회,앞산봉덕영무예다음경로당,대구광역시 남구 대봉로 12 (봉덕동)    ,남구,봉덕동,35.8408720765565,128.604645549531
27,남구지회,봉삼경로당,대구광역시 남구 삼정4길 89 (봉덕동)    ,남구,봉덕동,35.8360107822602,128.594503600844
28,남구지회,목련경로당,대구광역시 남구 봉덕로6길 35-22 (봉덕동)    ,남구,봉덕동,,
29,남구지회,미리내경로당,대구광역시 남구 효성로 15 (봉덕동)    ,남구,봉덕동,35.8348853378258,128.600170500151
30,남구지회,대덕효도정경로당,대구광역시 남구 앞산순환로 657 (봉덕동)    ,남구,봉덕동,35.833126605497,128.596740147023
31,남구지회,대덕2차경로당,대구광역시 남구 앞산순환로 655 (봉덕동)    ,남구,봉덕동,35.8340941371614,128.593810330075
32,남구지회,보성경로당,대구광역시 남구 삼정2길 99 (봉덕동)    ,남구,봉덕동,35.8351675493899,128.595666533871
33,남구지회,상신경로당,대구광역시 남구 효성3길 20 (봉덕동)    ,남구,봉덕동,35.8372243426678,128.600232310617
34,남구지회,태성맨션경로당,대구광역시 남구 효서2길 7 (봉덕동)    ,남구,봉덕동,35.8385153676836,128.595764135668
35,남구지회,태왕아너스경로당,대구광역시 남구 효서길 53 (봉덕동)    ,남구,봉덕동,35.8378256916156,128.595745893516
36,남구지회,대명1동경로당,대구광역시 남구 장전3길 84-3 (대명동)    ,남구,대명동,35.8405232829432,128.576942272522
37,남구지회,무궁화경로당,대구광역시  남구 현충로23길 23 (대명동)    ,남구,대명동,35.8428054863616,128.57817435449
38,남구지회,정우경로당,대구광역시 남구 현충로25길 71 (대명동)    ,남구,대명동,35.8439801019321,128.575134823429
39,남구지회,앵두마을경로당,대구광역시 남구 두류공원로12길 17-25 (대명동)    ,남구,대명동,35.8439178276507,128.57229391478
40,남구지회,동아대덕경로당,대구광역시 남구 현충서길 29 (대명동)    ,남구,대명동,35.845254288203,128.576937548852
41,남구지회,대명2동경로당,대구광역시 남구 삼각지2길 20-11 (대명동)    ,남구,대명동,35.8505789506317,128.586174719344
42,남구지회,명덕경로당,대구광역시 남구 명덕로38길 51 (대명동)    ,남구,대명동,35.8543716296611,128.589036747084
