은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,고령유동총합_500m,고령유동밀집도,유동인구스코어,인프라성숙도
170,NH농협은행,성당지점,대구광역시 남구 대명4동 대구광역시 남구 성당로 152,남구,대명4동,35.84799459,128.5690295,2.539287254,3.78391633,9402,3085,7.499026808377577,3,1.5276924022621097,0,474.6047169811321,604.2854937782174,6.454545454545453,5.448294020351307
174,NH농협은행,신천역지점,대구광역시 동구 신천1.2동 대구광역시 동구 동부로 17,동구,신천1.2동,35.8742933,128.6145846,6.393727779,2.815930069,11280,3648,7.369083468707716,1,3.4054585689697565,6,203.878823374954,259.5865802550671,3.3431421339247684,8.022841709032146
176,NH농협은행,원대금융센터,대구광역시 서구 원대동 대구광역시 서구 달서천로83길 6,서구,원대동,35.88202064,128.5780262,4.17586892,5.674954192,10175,2669,5.686205045529899,1,3.1507407179739366,6,101.92797254876396,129.7787253637664,2.171439599027409,7.058125242039589
182,NH농협은행,평리지점,대구광역시 서구 평리4동 대구광역시 서구 국채보상로 256,서구,평리4동,35.87090068,128.5590932,4.321367377,3.145905421,15549,4081,5.690365122874559,4,1.7013269916400295,0,245.52987002264572,312.61833992651714,3.8218300167893196,8.236706952460679
183,NH농협은행,효목금융센터,대구광역시 동구 효목2동 대구광역시 동구 효목로 40,동구,효목2동,35.87683604,128.6400425,2.610432289,4.096761259,14055,3756,5.8219014086698,3,1.8852194492254728,0,99.1256956269815,126.21075557165425,2.1392335414405563,6.585509840681348
184,신한은행,경북대학교,대구 북구 산격동 대학로 80,북구,대현동,35.88909749,128.6143223,3.105214656,1.0,15719,4215,5.846994448843874,4,1.7111238320629458,0,55.78557717081671,71.02840287975896,1.6411334643316868,6.183746958800657
185,신한은행,대구3공단금융센터,대구 북구 노원동3가 노원로 131,북구,노원동,35.8975226,128.5750295,2.04852263,1.702325845,11171,3107,6.122009185744536,4,1.4490295365134007,0,213.70675324675324,272.09988921072585,3.456092739537787,2.0850122506466757
189,신한은행,대구지방법원등기국(출),대구 동구 효목동 동부로 212,동구,효목2동,35.87893295,128.6355517,2.470275662,1.526549352,14055,3756,5.8219014086698,3,1.8852194492254728,0,94.66103419106688,120.52617207759369,2.0879220018160556,7.5118132586268525
201,우리은행,대구3공단지점,대구 서구 비산동 팔달로,서구,비산7동,35.88969033,128.5570703,1.981367681,8.8,8379,2755,7.517661552149764,2,1.7709998155888862,5,355.5684559265042,452.723818946047,5.086483415904951,4.366559204740957
206,우리은행,범물동지점,대구 수성구 범물동 지범로,수성구,범물1동,35.82265377,128.6442296,6.90029867,5.971794615,9928,4159,10.0,2,1.949532825178264,5,17.67877358490566,22.5093136307213,1.203178920582281,5.158798388159821
209,우리은행,성당동지점,대구 남구 대명동 월배로,남구,대명11동,35.83635647,128.55654,3.317685113,7.6,7366,2610,8.220965614509108,1,2.5032271944922546,5,0.0,0.0,1.0,10.0
213,우리은행,유통단지지점,대구 북구 산격동 유통단지로,북구,산격2동,35.90722008,128.609657,2.344939703,5.137285856,9645,2523,5.6662823219945295,4,1.361088486599459,6,0.0,0.0,1.0,5.47579700024823
217,하나은행,대구3공단금융센터,대구광역시 북구 오봉로 8,북구,노원동,35.8883877,128.5765139,3.667724461,6.660960078,11171,3107,6.122009185744536,4,1.4490295365134007,6,337.50017088175,429.718563921519,4.878827911153165,6.275812276437904
226,하나은행,달성,대구광역시 달성군 논공중앙로34길 1,달성군,논공읍,35.72969159,128.4540414,1.855291421,1.0,4224,1380,7.4599913481525455,5,1.0,0,0.0,0.0,1.0,1.6324706835773894
230,하나은행,봉덕,대구광역시 남구 중앙대로 146,남구,봉덕1동,35.84617468,128.5908774,2.653634624,4.368172298,7906,2480,7.101384762285553,5,1.169750430292599,0,545.795424528302,694.92831784495,7.2727272727272725,7.029392434439506
