구군,의료기관명,소 재 지(도로명),위도,경도
중구,베러미의원,"대구광역시 중구 동성로 17, 대암빌딩 5층 (동성로2가)",35.8685949731038,128.594562305201
중구,서만수예쁜누네성형외과의원,"대구광역시 중구 중앙대로 366, 반월센트럴타워 801,802호 (덕산동)",35.8661170068962,128.593835998552
중구,하이린의원,"대구광역시 중구 달구벌대로 2033, 엘디스리젠트호텔 동산동 3층층 (동산동)",35.866544299947,128.586029893578
중구,가톨릭비뇨의학과의원,"대구광역시 중구 달성로 76, 1층 (시장북로)",35.8719211378033,128.582478972299
중구,해동내과의원,"대구광역시 중구 중앙대로 434-18, 1,2층 (포정동)",35.8718695845265,128.595176976475
중구,힐스의원,"대구광역시 중구 달구벌대로 1999, 3층 (동산동)",35.865456902865,128.582701809564
중구,박민수신경과의원,"대구광역시 중구 달구벌대로 2191, 소석문화센터 3층 (삼덕동2가)",35.8635773843333,128.603087268658
중구,건강지킴가정의학과의원,"대구광역시 중구 동덕로30길 45, 2층 (동인동4가)",35.8670184522189,128.606408252088
중구,청담스타일성형외과의원,"대구광역시 중구 동성로1길 29-32, 3층 (삼덕동1가)",35.8672896690862,128.595566421849
중구,더시원마취통증의학과의원,"대구광역시 중구 국채보상로 468, 3층 (대신동)",35.8703276291026,128.58191916838
중구,로앤산부인과의원,"대구광역시 중구 동성로 39, 씨네시티한일 4층 (동성로2가)",35.8704897119914,128.595376942134
중구,곽재혁신경과의원,"대구광역시 중구 달구벌대로 1999, 4층 (동산동)",35.865456902865,128.582701809564
중구,나비편한샘의원,"대구광역시 중구 달구벌대로 2120, 3층 (봉산동)",35.8648477619013,128.595429893214
중구,진심내과의원,"대구광역시 중구 달구벌대로 1999, 3층 (동산동)",35.865456902865,128.582701809564
중구,박준만마취통증의학과의원,"대구광역시 중구 남산로2길 3, 4층 (남산동)",35.8570798503858,128.583132673292
중구,글래드성형외과의원,"대구광역시 중구 국채보상로 630, 메트로타워 6층 (공평동)",35.869967847285,128.599456707673
중구,청담에프엔비의원,"대구광역시 중구 동성로5길 26, 동원빌딩 5층 602호 (삼덕동1가)",35.8675528667185,128.595921103022
중구,신남S항외과의원,"대구광역시 중구 달구벌대로 1999, 4층 (동산동)",35.865456902865,128.582701809564
중구,심우정신건강의학과의원,"대구광역시 중구 중앙대로 392, 동성빌딩 3층 (동성로3가)",35.8680441924809,128.593849577562
중구,강남퍼스트성형외과의원,"대구광역시 중구 중앙대로 366, 11층 1101호 (덕산동)",35.8661170068962,128.593835998552
중구,김윤년내과의원,"대구광역시 중구 달구벌대로 2021, 3층 (동산동, 청라언덕역 서한포레스트)",35.8660541879492,128.584977024873
중구,에이치성형외과의원,"대구광역시 중구 달구벌대로 2094, 2층 202호 (남산동)",35.8652806010911,128.592590057979
중구,닥터튠즈의원,"대구광역시 중구 중앙대로 366, 반월센트럴타워 103호,104호,401호,402호 (덕산동)",35.8661170068962,128.593835998552
중구,닥터코코의원,"대구광역시 중구 달구벌대로 2167, 3층 (삼덕동2가)",35.8639970794044,128.600537308813
중구,더채움재활의학과의원,"대구광역시 중구 달구벌대로 2094, 901호 (남산동)",35.8652806010911,128.592590057979
중구,김인택안과의원,"대구광역시 중구 동덕로 91, 대봉동PYLON빌딩 8층 (대봉동)",35.8626822228492,128.602625536277
중구,닥터조제통외과의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 11층 (남산동)",35.8650671399825,128.592799230416
중구,현동명에디성형외과의원,"대구광역시 중구 중앙대로 366, 3층 (덕산동)",35.8661170068962,128.593835998552
중구,예쁨주의쁨의원,"대구광역시 중구 동성로 25, 영스퀘어 1,2,4층 (사일동)",35.869387888093,128.595084930713
중구,참마취통증의학과의원,"대구광역시 중구 동덕로 115, 1층 (삼덕동2가)",35.8650936149718,128.602664242323
중구,아이백안과의원,"대구광역시 중구 동덕로 106-4, 1~4층,9층 (삼덕동2가)",35.8638858046714,128.603319874324
중구,헤이븐의원,"대구광역시 중구 동성로 36, 4층 (동성로2가)",35.8701410428818,128.595819120136
중구,폼의원,"대구광역시 중구 달구벌대로 2141, 3층 (삼덕동1가)",35.8650500217837,128.598043212282
중구,로즈벨여성의원,"대구광역시 중구 동성로2길 95, BL타워 3층 (동성로2가)",35.870189921818,128.596901118103
중구,더원이비인후과의원,"대구광역시 중구 달구벌대로 2127, 4층 (봉산동)",35.8652489999755,128.596579112577
중구,지니소아청소년과의원,"대구광역시 중구 달구벌대로 1955, 단지내상가 301동 3층 301호 (대신동, 대신센트럴자이)",35.8638665149843,128.577718740633
중구,신남정신건강의학과의원,"대구광역시 중구 달성로 1, 6층 (대신동)",35.8651990406052,128.582028005483
중구,청담필즈성형외과의원,"대구광역시 중구 달구벌대로 2076, 4층 (남산동)",35.8656958150377,128.590654437559
중구,남산경대의원,"대구광역시 중구 남산로3길 52, 1층 (남산동)",35.8608884927507,128.577664137052
중구,앙뜨레21성형외과의원,"대구광역시 중구 달구벌대로 2094, 8층 (남산동)",35.8652806010911,128.592590057979
중구,황승욱K유외과의원,"대구광역시 중구 달구벌대로 2210, 8층 (대봉동)",35.8623739079504,128.604679965304
중구,영나은마취통증의학과의원,"대구광역시 중구 달성로 1, 5층 (대신동)",35.8651990406052,128.582028005483
중구,센트럴대구산부인과의원,"대구광역시 중구 중앙대로81길 1, 2층 (동일동, 뉴한글컴퓨터학원)",35.8696942277336,128.593567979593
중구,윤당내과의원,"대구광역시 중구 동덕로 75, 2층 (대봉동)",35.861457167256,128.603256669922
중구,화이트의원,"대구광역시 중구 동성로3길 20, 3층 (삼덕동1가)",35.8662324861353,128.597780220642
중구,준성형외과의원,"대구광역시 중구 동성로6길 16, 3층 (공평동)",35.8688784738101,128.596176865058
중구,닥터굿재활의학과의원,"대구광역시 중구 국채보상로 582 (남일동, 미도빌딩)",35.8706795257615,128.594356520484
중구,참이비인후과의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 13층 (남산동)",35.8650671399825,128.592799230416
중구,굿맨비뇨기과의원,"대구광역시 중구 달구벌대로 2191, 6층 (삼덕동2가, 소석문화센터)",35.8635773843333,128.603087268658
중구,트루맨남성의원,"대구광역시 중구 달구벌대로 2126, 8층 (봉산동, 미래에셋증권)",35.8646685817621,128.596042828177
중구,안병훈이비인후과의원,"대구광역시 중구 달구벌대로 2094, 2층 (남산동)",35.8652806010911,128.592590057979
중구,박준식이비인후과의원,"대구광역시 중구 동덕로 141, 2층 (삼덕동2가)",35.8671810462022,128.603398332288
중구,마음에속드는내과의원,"대구광역시 중구 동덕로 91, 2층 (대봉동, 대봉동PYLON빌딩)",35.8626822228492,128.602625536277
중구,후이비인후과의원,"대구광역시 중구 동성로1길 81, 3층,9층 (삼덕동1가)",35.865194246138,128.597653981866
중구,닥터디자이너의원,"대구광역시 중구 동성로1길 15, 유니온스퀘어 5층 (동성로3가)",35.8670087940219,128.594649534283
중구,애플산부인과의원,"대구광역시 중구 동성로 25, 3층 (사일동)",35.869387888093,128.595084930713
중구,프라임안과의원,"대구광역시 중구 달구벌대로 1999, 2층 (동산동)",35.865456902865,128.582701809564
중구,필라인의원,"대구광역시 중구 동성로5길 31, 5층 (삼덕동1가)",35.8678767366563,128.596273793022
중구,바움성형외과의원,"대구광역시 중구 동성로3길 106, 5층 (공평동)",35.8699830814753,128.59879306028
중구,닥터스영상의학과의원,"대구광역시 중구 동덕로 115, 2층 (삼덕동2가)",35.8650936149718,128.602664242323
중구,글로미의원,"대구광역시 중구 동성로2길 81, 4층 (동성로2가)",35.86954385295,128.596965097921
중구,의미심장내과의원,"대구광역시 중구 달구벌대로 2163, 2층 (삼덕동2가)",35.8640443423981,128.599965909258
중구,주열정신건강의학과의원,"대구광역시 중구 달구벌대로 2202, 2층 201호 (대봉동)",35.8626244077455,128.604020127859
중구,대구서울하정외과의원,"대구광역시 중구 달구벌대로 2094, 대구메디스퀘어 6층 (남산동)",35.8652806010911,128.592590057979
중구,닥터헤어리의원,대구광역시 중구 국채보상로 622 (공평동),35.8701401597126,128.598731448529
중구,솜씨있는여성의원,대구광역시 중구 달구벌대로 2109 (덕산동),35.8656732544882,128.594625761332
중구,신세계연합의원,"대구광역시 중구 달구벌대로 2143, 4층 (삼덕동1가)",35.864946461343,128.598207193713
중구,오블리제성형외과의원,"대구광역시 중구 동성로1길 77, 2층 (삼덕동1가, 동서빌딩)",35.8653105212152,128.597441875113
중구,자연미인성형외과의원,대구광역시 중구 달구벌대로 2126 (봉산동),35.8646685817621,128.596042828177
중구,리프트성형외과의원,"대구광역시 중구 달구벌대로 2127, S타워 3,8,11,12층 (봉산동)",35.8652489999755,128.596579112577
중구,미소의원,대구광역시 중구 동덕로 125 (삼덕동2가),35.8658727516995,128.603041728604
중구,에이치프라임외과의원,대구광역시 중구 동성로1길 81 (삼덕동1가),35.865194246138,128.597653981866
중구,뮤즈의원,"대구광역시 중구 달구벌대로 2109, 4층 (덕산동)",35.8656732544882,128.594625761332
중구,모제림외과의원,"대구광역시 중구 중앙대로 366, 13층 (덕산동)",35.8661170068962,128.593835998552
중구,블루미의원,"대구광역시 중구 동성로1길 16, 동성로타워 3,4층 (덕산동)",35.8665595850499,128.594479007342
중구,리메이드의원,"대구광역시 중구 달구벌대로 2163, 3층 (삼덕동2가)",35.8640443423981,128.599965909258
중구,류마제통의원,"대구광역시 중구 달구벌대로 2120, 2층 (봉산동)",35.8648477619013,128.595429893214
중구,임재양외과의원,대구광역시 중구 달구벌대로445길 21 (삼덕동3가),35.8636133349814,128.606298336695
중구,김현철내과의원,"대구광역시 중구 달구벌대로 2033, 11층,12층 (동산동, 엘디스리젠트호텔)",35.866544299947,128.586029893578
중구,더퍼스트의원,대구광역시 중구 동성로3길 106 (공평동),35.8699830814753,128.59879306028
중구,이상도신경과의원,대구광역시 중구 달구벌대로415길 25 (계산동2가),35.8674691184709,128.589923763929
중구,요셉신경외과의원,대구광역시 중구 동덕로 91 (대봉동),35.8626822228492,128.602625536277
중구,수아벨의원,"대구광역시 중구 국채보상로 630, 메트로타워 10층 (공평동)",35.869967847285,128.599456707673
중구,에필성형외과의원,대구광역시 중구 달구벌대로 2111 (덕산동),35.8655635765164,128.594762170322
중구,메이린의원,대구광역시 중구 달구벌대로 2077 (계산동2가),35.8666296004242,128.590625718585
중구,대구헬스케어의원,"대구광역시 중구 국채보상로 586, 7층 (동성로2가, 교보빌딩)",35.8705941877935,128.59481804297
중구,우리내과의원,"대구광역시 중구 동성로3길 99, 1층 (공평동)",35.8698184409587,128.598305710175
중구,미도의원,"대구광역시 중구 동성로5길 63, 3층 (삼덕동1가)",35.8674646004153,128.598113510623
중구,유로진비뇨기과의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 10층 (남산동)",35.8650671399825,128.592799230416
중구,파파스남성의원,대구광역시 중구 동덕로 91 (대봉동),35.8626822228492,128.602625536277
중구,서문미의원,"대구광역시 중구 달성로 37 (대신동, 계성빌딩)",35.8684640441153,128.581872598065
중구,스타S피부과의원,"대구광역시 중구 중앙대로 366, 15층 (덕산동)",35.8661170068962,128.593835998552
중구,(의) 열린의료재단 대구열린의원,"대구광역시 중구 중앙대로 359, 반월당메티칼오피스타워 5,6층 (남산동)",35.8650671399825,128.592799230416
중구,티아라의원,"대구광역시 중구 동성로5길 26, 7층 (삼덕동1가)",35.8675528667185,128.595921103022
중구,S성형외과의원,대구광역시 중구 중앙대로 421 (남일동),35.8707430855529,128.593756830698
중구,박의현구심내과의원,대구광역시 중구 달구벌대로 2208 (대봉동),35.86251724496,128.60452067416
중구,시티여성의원,"대구광역시 중구 중앙대로66길 20 (남산동, 반월당효성해링턴플레이스)",35.8617317263409,128.593343449093
중구,마이닥터하우스의원,대구광역시 중구 중앙대로 415 (남일동),35.8701976081452,128.593554257485
중구,김진영유외과의원,"대구광역시 중구 달구벌대로 2126, 10층 (봉산동)",35.8646685817621,128.596042828177
중구,메디아트의원,"대구광역시 중구 달구벌대로 2199, 2층 (삼덕동2가)",35.8632403002207,128.603854305745
중구,더원성형외과의원,대구광역시 중구 동성로6길 25 (공평동),35.8689813827187,128.596861696107
중구,이경외과의원,대구광역시 중구 명덕로 315 (대봉동),35.8553835787388,128.604840471952
중구,닥터오성형외과의원,대구광역시 중구 동성로6길 2-19 (삼덕동1가),35.8681344286739,128.59556431788
중구,세종법의의원,"대구광역시 중구 동덕로 115, 1308호 (삼덕동2가, 진석타워)",35.8650936149718,128.602664242323
중구,(재)한국의학연구소대구분사무소부설의원,"대구광역시 중구 중앙대로66길 20, 지하1~2층 (남산동, 반월당효성해링턴플레이스)",35.8617317263409,128.593343449093
중구,신남미래연합신경외과의원,대구광역시 중구 달구벌대로 1992 (남산동),35.8644507617184,128.582100810537
중구,코리아이비인후과의원,"대구광역시 중구 남산로 83-1, 3-5층 (남산동)",35.8639882105076,128.582079769828
중구,예담성형외과의원,대구광역시 중구 동성로1길 81 (삼덕동1가),35.865194246138,128.597653981866
중구,동산내과의원,"대구광역시 중구 달구벌대로 1988-3, 2,3층 (남산동)",35.8642093431942,128.58165617419
