번호,소속지회,경로당명,주소
190,달서구지회,동화태왕한양,"대구광역시 달서구  상인서로 94(상인동,동화태왕한양) "
191,달서구지회,상인서한,"대구광역시 달서구  상인서로 46(상인동,상인서한) "
192,달서구지회,상인우방,"대구광역시 달서구  상인서로65(상인동,우방타운) "
193,달서구지회,성지맨션,"대구광역시 달서구  상화북로 195(상인동,성지맨션) "
194,달서구지회,상인청구,"대구광역시 달서구  상인로 105(상인동,청구아파트) "
195,달서구지회,월평,대구광역시 달서구  월배로 40길27-21(상인동) 
196,달서구지회,월곡,대구광역시 달서구  월곡로27길30(상인동) 
197,달서구지회,진천코오롱하늘채,"대구광역시 달서구  상화로 65(진천동,코오롱하늘채) "
198,달서구지회,낙원,"대구광역시 달서구  월곡로45길49(상인동,낙원아파트) "
199,달서구지회,서한이다음레이크뷰,"대구광역시 달서구 상화로58길35(도원동,서한이다음레이크뷰) "
200,달서구지회,산호타운,"대구광역시 달서구  상화북로 159(상인동,산호타운) "
201,달서구지회,한양은하,"대구광역시 달서구  상화북로 137(상인동,한양은하) "
202,달서구지회,청자,"대구광역시 달서구  상화북로117(상인동,우방청자) "
203,달서구지회,삼미타운,"대구광역시 달서구  월배로34길 27(상인동,삼미아파트) "
204,달서구지회,상인동화아이위시,"대구광역시 달서구  월곡로171(상인동,보라맨션) "
205,달서구지회,월상,대구광역시 달서구  상원로13길 23-17(상인동)  
206,달서구지회,상인은행,"대구광역시 달서구  월곡로 112(상인동,은행아파트)  "
207,달서구지회,상인제림,"대구광역시 달서구  상화북로196(상인동,상인제림) "
208,달서구지회,장미4단지,"대구광역시 달서구  상화로 380(상인동, 장미아파트) "
209,달서구지회,장미3단지,"대구광역시 달서구  상화로 370(상인동,장미3단지) "
210,달서구지회,비둘기할머니,"대구광역시 달서구  상화로 371(상인동,비둘기1단지) "
211,달서구지회,비둘기아파트,"대구광역시 달서구  상화로 373(상인동,비둘기아파트) "
212,달서구지회,상인평광,"대구광역시 달서구  상인서로 3(상인동,상인평광) "
213,달서구지회,채정,대구광역시 달서구 상인로9안길 69(상인동)  
214,달서구지회,도원,대구광역시 달서구  수밭길 46(도원동) 
215,달서구지회,산새마을,"대구광역시 달서구  도원남로 40(도원동, 산새마을) "
216,달서구지회,별메마을,"대구광역시 달서구  도원로46(도원동,별메마을)  "
217,달서구지회,한실들마을1,"대구광역시 달서구  한실로 49(도원동, 한실들마을1) "
218,달서구지회,한실들마을2,"대구광역시 달서구  한실로 49(도원동, 한실들마을2) "
219,달서구지회,가람마을1,"대구광역시 달서구  한실로 135(도원동,가람마을1) "
220,달서구지회,아람마을,"대구광역시 달서구  한실로30(도원동,아람마을) "
221,달서구지회,가람마을2,"대구광역시 달서구  한실로135(도원동,가람마을2) "
222,달서구지회,나래마을,"대구광역시 달서구  한실로29(도원동,나래마을) "
223,달서구지회,대곡사계절,"대구광역시 달서구  한실로117(도원동,대곡사계절타운) "
224,달서구지회,대곡강산타운,"대구광역시 달서구  도원로 45(도원동,강산타운) "
225,달서구지회,해맞이타운,"대구광역시 달서구  월배로 420(송현동,해맞이타운) "
226,달서구지회,송공,대구광역시 달서구  월배로68안길 43-7 (송현동) 
227,달서구지회,송영,대구광역시 달서구  중흥로16길84-12(송현동) 
228,달서구지회,송곡,대구광역시 달서구  앞산순환로 61길14(송현동) 
229,달서구지회,장관빌라,"대구광역시 달서구  중흥로 68(송현동, 장관빌라) "
230,달서구지회,월성분회,"대구광역시 달서구  송현로16길43(송현동,월성아파트) "
231,달서구지회,서부분회,"대구광역시 달서구 송현로 161(송현동,송현아파트) "
232,달서구지회,청구그린1,"대구광역시 달서구  구마로40길 21(송현동, 그린맨션아파트) "
233,달서구지회,구암,대구광역시 달서구  월배로75길 50-12(송현동) 
234,달서구지회,송현우방,"대구광역시 달서구  송현로 103(송현동,송현우방맨션) "
235,달서구지회,본동,대구광역시 달서구  와룡로 4길19(본동) 
236,달서구지회,청구그린2차,"대구광역시 달서구  구마로36길 20(본동,청구그린2차) "
237,달서구지회,청구그린3차,"대구광역시 달서구  구마로36길33(본동,청구그린3차) "
238,달서구지회,월성주공5단지,"대구광역시 달서구  구마로 12길 89(본동, 월성주공5단지) "
239,달서구지회,미리샘마을,"대구광역시 달서구  한실로134(도원동,미리샘마을) "
240,달서구지회,상인2동,대구광역시 달서구  월곡로53서길 70 (상인동) 
241,달서구지회,대곡청구제네스,"대구광역시 달서구  상화로90(대곡동,대곡청구제네스) "
242,달서구지회,한마음타운,"대구광역시 달서구  선원남로151(용산동,한마음아파트) "
243,달서구지회,용산우방미진태왕타운,"대구광역시 달서구  용산서로21(용산동,용산미진태왕) "
244,달서구지회,성서주공6,"대구광역시 달서구  성지로 35(용산동,성서주공6) "
245,달서구지회,용산동서우방,"대구광역시 달서구  장산로 20(용산동,용산동서우방) "
246,달서구지회,용산2차서한화성,"대구광역시 달서구  용산큰못길30(용산동,용산2차서한화성) "
247,달서구지회,화성하이츠,"대구광역시 달서구  월배로 245(상인동,화성하이츠) "
248,달서구지회,삼성한국형A,"대구광역시 달서구  호산로 126(호산동,삼성한국형) "
249,달서구지회,용산영남타운,"대구광역시 달서구  용산로 266(용산동,용산영남타운) "
250,달서구지회,용산2차우방타운,"대구광역시 달서구  용산서로38(용산동,용산2차우방타운) "
251,달서구지회,용산세광태왕2차타운,"대구광역시 달서구  용산서로 9(용산동, 용산세광그린빌) "
252,달서구지회,용산현대우방타운,"대구광역시 달서구  용산로 253(용산동,용산현대우방) "
253,달서구지회,용산보성타운,"대구광역시 달서구  용산서로 37(용산동,용산보성타운) "
254,달서구지회,용산청구타운,"대구광역시 달서구  용산서로 22(용산동,용산청구타운) "
255,달서구지회,삼성명가타운,"대구광역시 달서구  호산로 125(파호동,삼성명가타운) "
256,달서구지회,우방송현하이츠,"대구광역시 달서구  학산남로 90(송현동, 우방송현하이츠) "
257,달서구지회,배실,대구광역시 달서구  선원로23남길 54(이곡동) 
258,달서구지회,월촌화성타운,"대구광역시 달서구  송현로7길 41(상인동, 월촌화성타운) "
259,달서구지회,사령봉,대구광역시 달서구  달구벌대로245길 17-12(이곡동)  
260,달서구지회,용산청구블루빌타운,"대구광역시 달서구  용산로254(용산동,용산블루빌타운) "
261,달서구지회,용산파크타운,"대구광역시 달서구  용산로 259(용산동, 용산파크타운) "
262,달서구지회,성서3차동서타운,대구광역시 달서구  이곡공원로 49(이곡동 성서3차동서타운) 
263,달서구지회,삼성래미안,"대구광역시 달서구  상화로 8길 23(대곡동,삼성래미안) "
264,달서구지회,동화로즈빌,"대구광역시 달서구  죽전1길82(죽전동,동화로즈빌) "
265,달서구지회,송현,대구광역시 달서구  구마로 52안길 18(송현동) 
266,달서구지회,장기파랑새마을,"대구광역시 달서구  한들로 70(장기동,장기파랑새마을) "
267,달서구지회,삼성래미안2차아파트,"대구광역시 달서구  상화로 86(대곡동,삼성래미안2차) "
268,달서구지회,두류보성맨션,"대구광역시 달서구  두류6길 9(두류동,보성맨션) "
269,달서구지회,삼정그린빌,"대구광역시 달서구  야외음악당로 39길54(두류동,삼정그린빌) "
270,달서구지회,우방드림시티,"대구광역시 달서구  장기로 242(감삼동,우방드림시티) "
271,달서구지회,장동,대구광역시 달서구  성서공단로 61길45(장동) 
272,달서구지회,두류3동,"대구광역시 달서구  야외음악당로 39길54 (두류동,삼정그린빌아파트) "
273,달서구지회,장기누림타운,"대구광역시 달서구  한들로 31(장기동,누림타운) "
274,달서구지회,대곡이오스,"대구광역시 달서구  비슬로 550길 38(대곡동,대곡이오스) "
275,달서구지회,청구제네스,"대구광역시 달서구  월배로 340(송현동,청구제네스) "
276,달서구지회,이안진천아파트,대구광역시 달서구  진천로 18길 10(진천동 이안진천) 
277,달서구지회,신당한화꿈에그린,"대구광역시 달서구  달서대로 719(신당동,신당한화꿈에그린) "
278,달서구지회,대남,대구광역시 달서구  앞산순환로 39안길11 (송현동) 
279,달서구지회,늘품,대구광역시 달서구  선원로33길 79-8(이곡동)  
280,달서구지회,포스코더샾,"대구광역시 달서구  월서로 51(진천동,월배역포스코더샾) "
281,달서구지회,월성동삼성래미안,"대구광역시 달서구  상원로143(월성동,삼성래미안) "
282,달서구지회,유천포스코더샾,"대구광역시 달서구  달서대로67(유천동,유천포스코더샾) "
283,달서구지회,태왕아너스월성아파트,대구광역시 달서구  조암남로 24(월성동 태왕아너스월성) 
284,달서구지회,월성자이아파트,"대구광역시 달서구  조암남로10길 21(월성동, 월성 자이 아파트) "
285,달서구지회,월성코오롱하늘채,"대구광역시 달서구  조암남로 16길19(월성동,코오롱하늘채1단지) "
