약국명,주소,위도,경도
죽전약손약국,"대구광역시 달서구 장기로 225, 101호 (장기동)",35.8432852,128.5358081
새희망약국,"대구광역시 달서구 조암로 42, 플러스타워 1층 112호 (월성동)",35.8246527,128.5252476
건약국,대구광역시 달서구 상원로 128 (상인동),35.8197986,128.5309618
죽전하나약국,"대구광역시 달서구 달구벌대로 1565, 1층 (죽전동)",35.8508653,128.5376667
선한약국,대구광역시 달서구 조암남로32길 30 (대천동),35.8186278,128.5159051
본리선약국,"대구광역시 달서구 와룡로 138, 숭조빌딩 1층 101호 (감삼동)",35.8448944,128.5375135
천사약국,"대구광역시 달서구 월곡로 379, 1층 106호 (월성동)",35.8295391,128.5261392
성당수약국,"대구광역시 달서구 장기로 140, 1층 (성당동)",35.8437331,128.5451586
대광약국,"대구광역시 달서구 조암로 16, 도원빌딩 1층 104호 (월성동)",35.8257998,128.5279016
세계약국,"대구광역시 달서구 달구벌대로 1571, 1층 102호 (죽전동)",35.8511464,128.5385654
해봄약국,"대구광역시 달서구 송현로7길 26, 정원빌딩 101호 (상인동)",35.8204002,128.5464107
감삼시티약국,"대구광역시 달서구 달구벌대로 1666, 110호 (두류동)",35.8571096,128.5652107
더조은약국,"대구광역시 달서구 한실로 67, 1층 (도원동)",35.8072884,128.5342622
초이스약국,"대구광역시 달서구 한실로 69, 대한빌딩 103호 (도원동)",35.8072668,128.5344806
바로온누리약국,"대구광역시 달서구 월배로 473, 107호 (송현동)",35.8340868,128.5489314
서남중앙약국,"대구광역시 달서구 달구벌대로 1647, 1층 102호 (감삼동)",35.8526199,128.5445501
더편한약국,"대구광역시 달서구 월배로 93, 1층 (진천동)",35.8143865,128.5248838
시원약국,"대구광역시 달서구 송현로 42, 102호 (송현동)",35.8226287,128.5477682
월드약국,"대구광역시 달서구 와룡로 169, 101동 104호 (감삼동, 월드마크웨스트엔드)",35.8484374,128.536007
대학당약국,"대구광역시 달서구 감삼북길 63, 1층 (감삼동)",35.8522745,128.5452008
약손약국,"대구광역시 달서구 월배로 164, 스카이M타워 101호 (상인동)",35.8164881,128.5320615
다나은약국,"대구광역시 달서구 월배로 196, 1층 (상인동)",35.8178305,128.5352485
건강드림약국,"대구광역시 달서구 월배로 397, 안촌빌딩 1층 (송현동)",35.830172,128.5506139
센텀약국,"대구광역시 달서구 월배로 168, 아보스타워 101호 (상인동)",35.8166352,128.5323817
가가약국,"대구광역시 달서구 월배로 183, 지하 1층 (상인동, 상인 대성 스카이렉스)",35.8181693,128.5334098
모아약국,"대구광역시 달서구 도원로 36, 스포렉스 203호 (도원동)",35.8064448,128.5353843
메디칼중앙약국,"대구광역시 달서구 달구벌대로 1015, 1층 (호산동)",35.8531487,128.478258
성서약국,"대구광역시 달서구 달구벌대로 1158, 1층 (신당동)",35.850899,128.4939422
두류약국,"대구광역시 달서구 달구벌대로 1814, 1층 (두류동)",35.8595005,128.5633493
계명지하철약국,"대구광역시 달서구 달구벌대로 지하 1014, 대구지하철2호선 강창역 지하상가 1호 (호산동)",35.853091,128.4780687
참조은약국,대구광역시 달서구 이곡동로 31 (이곡동),35.8542492,128.5109757
은민약국,"대구광역시 달서구 월배로11길 32, 102호 (대천동)",35.8160572,128.5197039
중앙약국,"대구광역시 달서구 한실로 89, 1층 (도원동)",35.807052,128.5366563
참약국,"대구광역시 달서구 달구벌대로 1545, 골든뷰 메디타워 1층 108호 (죽전동)",35.850326,128.5360651
꿈나무약국,"대구광역시 달서구 한실로6길 98, 에스엔피빌딩 201호 (대곡동)",35.7989693,128.5294407
행복한약국,"대구광역시 달서구 와룡로41길 11, 1층 (죽전동)",35.8511512,128.5364305
대곡메디약국,"대구광역시 달서구 갈밭로 6, 대곡메디컬빌딩 105호 (대곡동)",35.8007682,128.5328754
준약국,대구광역시 달서구 명덕로 23 (두류동),35.8606773,128.5741252
평화온누리약국,"대구광역시 달서구 월배로 120, 서호메디칼타워 1층 102호 (진천동)",35.8152898,128.5285163
달구벌약국,"대구광역시 달서구 진천로 92, 이마트월배점 2층 (대천동)",35.817143,128.5236661
플러스약국,"대구광역시 달서구 조암로 149, 105호 (대천동)",35.8189341,128.5161092
오성약국,대구광역시 달서구 월곡로26길 33 (상인동),35.8087797,128.5505403
고은약국,대구광역시 달서구 조암남로 38 (월성동),35.8219343,128.528707
수한약국,"대구광역시 달서구 도원로 36, 1층 (도원동)",35.8064448,128.5353843
다온약국,"대구광역시 달서구 달서대로 65-25, 1층 (유천동)",35.8128619,128.5096707
가나약국,"대구광역시 달서구 월배로 175, 우리빌딩 102호 (상인동)",35.8175028,128.5327706
21세기약국,대구광역시 달서구 성지로 78 (용산동),35.8561362,128.521252
편한약국,"대구광역시 달서구 달구벌대로 1525, 101호 (죽전동, 진도골드타워)",35.8501117,128.5338942
킴스약국,대구광역시 달서구 월배로 400 (송현동),35.8261857,128.5569549
유안약국,대구광역시 달서구 월배로 18 (진천동),35.8113917,128.5177234
성서용산약국,대구광역시 달서구 성지로 68 (용산동),35.855293,128.5212237
