은행id,은행,지점명,주소,구군,읍면동,위도,경도,복지스코어,교통스코어,전체인구,65세이상,고령인구비율,동별지점수,포화도,클러스터,경로당수,복지회관수,버스정류장수,지하철역수,경유노선합
72,iM뱅크(구 대구은행),성서공단영업부,대구광역시 달서구 월암동 성서공단로124,달서구,월성2동,35.83484068,128.4961746,1.0,1.0,13814,5124,8.678146185041296,3,1.866701499953897,0,0,0,7,0,10.727406610312546
73,iM뱅크(구 대구은행),성서비즈니스센터영업부,대구광역시 달서구 갈산동 성서공단로217,달서구,이곡2동,35.8364554,128.506659,1.019050043,1.0,14451,3260,4.674746654553567,8,1.2216563959921318,3,0,0,7,0,9.70674230225704
74,iM뱅크(구 대구은행),성서영업부,대구광역시 달서구 이곡동 달구벌대로1276,달서구,이곡2동,35.85140957,128.5067461,3.372633607,6.053120159,14451,3260,4.674746654553567,8,1.2216563959921318,4,3,0,14,1,30.055873871641257
75,iM뱅크(구 대구은행),성서홈플러스출장소,대구광역시 달서구 용산동 달구벌대로1467,달서구,용산1동,35.84945361,128.5274058,4.141514818,7.227983065,28582,4872,3.1560851911731422,4,2.452398881239243,4,6,0,21,1,35.33448073531427
76,iM뱅크(구 대구은행),세천지점,대구광역시 달성군 다사읍 세천로3길7,달성군,다사읍,35.87156583,128.4684528,1.20752054,1.0,51889,7663,2.528702308283676,2,6.785829542660438,2,0,0,7,0,9.0
77,iM뱅크(구 대구은행),수성구청지점,대구광역시 수성구 범어동 달구벌대로2450,수성구,범어1동,35.85820008,128.6306298,2.774366709,4.136710861,21354,2897,2.1977392150582724,1,5.727655520039342,2,3,0,6,1,21.445531997619543
78,iM뱅크(구 대구은행),시지지점,대구광역시 수성구 신매동 달구벌대로3196,수성구,고산1동,35.84013435,128.7061649,7.315367335,6.111775136,31453,5172,2.990231297969286,4,2.617850227440374,1,13,0,12,1,30.31940808108619
79,iM뱅크(구 대구은행),시청영업부,대구광역시 중구 동인1가 공평로88,중구,동인동,35.87156652,128.601259,2.868622241,6.4,10616,2145,4.026426068267917,4,1.417045733956233,4,5,0,19,0,41.82756173048324
80,iM뱅크(구 대구은행),신암동지점,대구광역시 동구 신암동 아양로2,동구,신암3동,35.88099411,128.6146225,5.07695967,5.424773994,11290,2192,3.8088341802480574,2,2.1065127858372263,1,8,0,15,0,32.62428916517831
81,iM뱅크(구 대구은행),신월성지점,대구광역시 달서구 월성동 조암로5,달서구,월성1동,35.8255175,128.52913,5.558624799,3.496571833,39888,3677,1.0,1,10.000000000000002,2,10,0,11,0,23.960962483111636
